Abbreviation,Blank,Category,Cluster Group,Country,Created Month,Created Year,Date Created,Title,Title of Channel,Type,Youtuber,Average Channel Age,Created Date,Gross tertiary education enrollment (%),Highest Monthly Earnings,Highest Yearly Earnings,Latitude,Longitude,Lowest Monthly Earnings,Lowest Yearly Earnings,Measure Correlation Formula ,Measure Formula,Population,Rank,Subscribers,Subscribers For Last 30 Days,Total Countries Represented,Unemployment rate,Uploads,Urban population,Video Views,Video Views For The Last 30 Days
KR,,Entertainment,Cluster 4,South Korea,Mar,2006,09-03-2006,Mnet K-POP,Mnet K-POP,Entertainment,Mnet K-POP,19.208219178,9,94.3,634200,7600000,35.907757,127.766922,39600,475600,7600000,20500000,51709098,373,20500000,100000,1,4.15,33229,42106719,15038593883,158540000
AU,,Gaming,Cluster 4,Australia,Jan,2015,04-01-2015,LazarBeam,LazarBeam,Gaming,LazarBeam,10.378082192,4,113.1,104300,1300000,-25.274398,133.775136,6500,78200,1300000,20500000,25766605,374,20500000,200000,1,5.27,1323,21844756,8768697257,26082000
US,,Entertainment,Cluster 1,United States,Feb,2017,09-02-2017,Ninja Kidz TV,Ninja Kidz TV,Entertainment,Ninja Kidz TV,8.276712329,9,88.2,780800,9400000,37.09024,-95.712891,48800,585600,9400000,20500000,328239523,375,20500000,100000,1,14.7,296,270663028,11009148579,195203000
BR,,Film & Animation,Cluster 1,Brazil,Dec,2014,02-12-2014,Totoy kids - Portuguï¿½,Totoy kids - Portuguï¿½,Film & Animation,Totoy kids - Portuguï¿½,10.468493151,2,51.3,158000,1900000,-14.235004,-51.92528,9900,118500,1900000,20400000,212559417,376,20400000,100000,1,12.08,206,183241641,1796227417,39495000
US,,People & Blogs,Cluster 1,United States,Sep,2013,19-09-2013,Jake Paul,Jake Paul,People & Blogs,Jake Paul,11.671232877,19,88.2,58600,703000,37.09024,-95.712891,3700,43900,703000,20400000,328239523,377,20400000,100000,1,14.7,1006,270663028,7311322368,14646000
AF,,Music,Cluster 2,Afghanistan,Nov,2006,28-11-2006,linkinpark,linkinpark,Music,Linkin Park,18.484931507,28,9.7,0,0,33.93911,67.709953,0,0,0,20400000,38041754,378,20400000,12,1,11.12,0,9797273,13397000296,71118000
IN,,Entertainment,Cluster 3,India,Feb,2007,01-02-2007,Vijay Television,Vijay Television,Entertainment,Vijay Television,18.306849315,1,28.1,3600000,43600000,20.593684,78.96288,226900,2700000,43600000,20400000,1366417754,379,20400000,400000,1,5.36,51515,471031528,29406206620,907534000
UA,,Entertainment,Cluster 4,Ukraine,Dec,2012,11-12-2012,SlivkiShow,SlivkiShow,Entertainment,SlivkiShow,12.443835616,11,82.7,116000,1400000,48.379433,31.16558,7200,87000,1400000,20400000,44385155,380,20400000,200000,1,8.88,462,30835699,4707412332,28990000
IN,,Music,Cluster 3,India,May,2013,03-05-2013,Emiway Bantai,Emiway Bantai,Music,Emiway Bantai,12.052054795,3,28.1,165200,2000000,20.593684,78.96288,10300,123900,2000000,20400000,1366417754,381,20400000,100000,1,5.36,239,471031528,3579555124,41289000
GB,,Entertainment,Cluster 4,United Kingdom,Jan,2013,31-01-2013,Got Talent Global,Got Talent Global,Entertainment,Got Talent Global,12.304109589,31,60,345800,4100000,55.378051,-3.435973,21600,259400,4100000,20300000,66834405,382,20300000,100000,1,3.85,1245,55908316,2441288701,86457000
ID,,Education,Cluster 2,Indonesia,Jan,2019,14-01-2019,BabyBus - Cerita & Lagu Anak-anak,BabyBus - Cerita & Lagu Anak-anak,Education,BabyBus - Cerita & Lagu Anak-anak,6.347945205,14,36.3,451100,5400000,-0.789275,113.921327,28200,338300,5400000,20300000,270203917,384,20300000,100000,1,4.69,875,151509724,11819051552,112768000
CO,,Entertainment,Cluster 4,Colombia,Jul,2009,20-07-2009,Ami Rodriguez,Ami Rodriguez,Entertainment,Ami Rodriguez,15.841095890,20,55.3,1100000,12700000,4.570868,-74.297333,66000,791600,12700000,20200000,50339443,385,20200000,1600000,1,9.71,460,40827302,2951914200,263864000
AE,,Comedy,Cluster 2,United Arab Emirates,Apr,2014,24-04-2014,Noor Stars,Noor Stars,Comedy,Noor Stars,11.076712329,24,36.8,62200,746700,23.424076,53.847818,3900,46700,746700,20200000,9770529,386,20200000,100000,1,2.35,693,8479744,2764127969,15556000
IN,,Education,Cluster 3,India,May,2017,25-05-2017,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,Education,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,7.989041096,25,28.1,453700,5400000,20.593684,78.96288,28400,340300,5400000,20200000,1366417754,388,20200000,300000,1,5.36,226,471031528,7274150246,113420000
LV,,Comedy,Cluster 4,Latvia,Mar,2020,20-03-2020,dednahype,dednahype,Comedy,dednahype,5.167123288,20,88.1,5000000,59800000,56.879635,24.603189,311200,3700000,59800000,20200000,1912789,389,20200000,1200000,1,6.52,1935,1304943,20919403720,1245000000
US,,Comedy,Cluster 1,United States,Jun,2021,21-06-2021,Marta and Rustam,Marta and Rustam,Comedy,Marta and Rustam,3.912328767,21,88.2,1800000,21700000,37.09024,-95.712891,113100,1400000,21700000,20200000,328239523,390,20200000,600000,1,14.7,761,270663028,19694265358,452250000
ID,,Gaming,Cluster 2,Indonesia,Mar,2014,15-03-2014,MiawAug,MiawAug,Gaming,MiawAug,11.186301370,15,36.3,258000,3100000,-0.789275,113.921327,16100,193500,3100000,20200000,270203917,391,20200000,200000,1,4.69,3713,151509724,6098644584,64489000
US,,Entertainment,Cluster 1,United States,Nov,2013,03-11-2013,CookieSwirlC,CookieSwirlC,Entertainment,CookieSwirlC,11.547945205,3,88.2,886800,10600000,37.09024,-95.712891,55400,665100,10600000,20100000,328239523,392,20100000,200000,1,14.7,3774,270663028,23353115850,221702000
US,,Music,Cluster 1,United States,Apr,2010,06-04-2010,Skrillex,Skrillex,Music,Skrillex,15.128767123,6,88.2,101100,1200000,37.09024,-95.712891,6300,75800,1200000,20100000,328239523,393,20100000,200000,1,14.7,241,270663028,6618524158,25263000
BR,,Gaming,Cluster 1,Brazil,Oct,2011,07-10-2011,AuthenticGames,AuthenticGames,Gaming,AuthenticGames,13.624657534,7,51.3,21700,260200,-14.235004,-51.92528,1400,16300,260200,20100000,212559417,394,20100000,200000,1,12.08,4974,183241641,8920141342,5420000
US,,Film & Animation,Cluster 1,United States,Feb,2007,01-02-2007,Pencilmation,Pencilmation,Film & Animation,Pencilmation,18.306849315,1,88.2,59400,713400,37.09024,-95.712891,3700,44600,713400,20100000,328239523,396,20100000,100000,1,14.7,1481,270663028,11317309935,14862000
US,,Music,Cluster 1,United States,May,2013,25-05-2013,7clouds,7clouds,Music,7clouds,11.991780822,25,88.2,1100000,13300000,37.09024,-95.712891,69200,830300,13300000,20100000,328239523,397,20100000,300000,1,14.7,2384,270663028,14816075927,276751000
US,,Howto & Style,Cluster 1,United States,Oct,2017,30-10-2017,5-Minute Crafts PLAY,5-Minute Crafts PLAY,Howto & Style,5-Minute Crafts PLAY,7.556164384,30,88.2,423100,5100000,37.09024,-95.712891,26400,317400,5100000,20100000,328239523,398,20100000,100000,1,14.7,5491,270663028,6119294270,105784000
US,,Entertainment,Cluster 1,United States,May,2011,10-05-2011,MarvelEntertainment,MarvelEntertainment,Entertainment,Marvel Entertainment,14.035616438,10,88.2,0.25,3,37.09024,-95.712891,0.02,0.19,3,20100000,328239523,399,20100000,30,1,14.7,1,270663028,5634695322,63
US,,People & Blogs,Cluster 1,United States,Aug,2011,10-08-2011,BuzzFeedVideo,BuzzFeedVideo,People & Blogs,BuzzFeedVideo,13.783561644,10,88.2,36400,437400,37.09024,-95.712891,2300,27300,437400,20100000,328239523,400,20100000,200000,1,14.7,7737,270663028,17913237851,9112000
US,,Entertainment,Cluster 1,United States,Jun,2007,04-06-2007,REACT,REACT,Entertainment,REACT,17.969863014,4,88.2,92800,1100000,37.09024,-95.712891,5800,69600,1100000,20000000,328239523,401,20000000,200000,1,14.7,4339,270663028,13154314376,23206000
US,,Music,Cluster 1,United States,Apr,2006,14-04-2006,Vevo,Vevo,Music,Vevo,19.109589041,14,88.2,5300,63900,37.09024,-95.712891,333,4000,63900,20000000,328239523,402,20000000,200000,1,14.7,1527,270663028,559765455,1331000
GB,,Entertainment,Cluster 4,United Kingdom,Apr,2006,29-04-2006,Gordon Ramsay,Gordon Ramsay,Entertainment,Gordon Ramsay,19.068493151,29,60,156900,1900000,55.378051,-3.435973,9800,117700,1900000,20000000,66834405,403,20000000,200000,1,3.85,1527,55908316,3875172235,39228000
CA,,Music,Cluster 4,Canada,Mar,2006,09-03-2006,pentatonix,pentatonix,Music,Pentatonix,19.208219178,9,68.9,0,0,56.130366,-106.346771,0,0,0,20000000,36991981,404,20000000,200000,1,5.56,1,30628482,6033295543,71118000
